2025-09-17 01:31:47,433 | __main__ | INFO | STARTING JIT Market-Making Bot in Sniper Mode...
2025-09-17 01:31:47,433 | __main__ | INFO |    Mode: Selective high-quality fills with larger clips
2025-09-17 01:31:47,434 | __main__ | INFO |    Strategy: 30% participation rate, 2-5 SOL clips
2025-09-17 01:31:49,369 | __main__ | INFO | CONFIG: Sniper configuration loaded:
2025-09-17 01:31:49,370 | __main__ | INFO |    Environment: devnet
2025-09-17 01:31:49,371 | __main__ | INFO |    Market: SOL-PERP
2025-09-17 01:31:49,371 | __main__ | INFO |    Clip Size: 2.5 SOL
2025-09-17 01:31:49,371 | __main__ | INFO |    Max Clip Size: 5.0 SOL
2025-09-17 01:31:49,372 | __main__ | INFO |    Participation Rate: 30.0%
2025-09-17 01:31:49,372 | __main__ | INFO |    Max Position: 25.0 SOL
2025-09-17 01:31:49,373 | __main__ | INFO |    Min Order Size: 5.0 SOL
2025-09-17 01:31:49,373 | __main__ | INFO |    Quality Score Threshold: 0.7
2025-09-17 01:31:50,056 | __main__ | INFO | INIT: Initializing sniper bot...
2025-09-17 01:31:50,059 | libs.sidecar_validator | INFO | Validating sidecar at: http://localhost:8787/health
2025-09-17 01:31:51,322 | httpx | INFO | HTTP Request: GET http://localhost:8787/health "HTTP/1.1 200 OK"
2025-09-17 01:31:51,323 | libs.sidecar_validator | INFO | Sidecar mode: forward
2025-09-17 01:31:51,324 | libs.sidecar_validator | INFO | Forward base: https://swift.drift.trade
2025-09-17 01:31:51,325 | libs.sidecar_validator | INFO | Upstream Swift service healthy: status=200 (633ms)
2025-09-17 01:31:51,326 | libs.sidecar_validator | WARNING | Circuit breaker OPEN: 3/3 consecutive failures
2025-09-17 01:31:51,327 | libs.sidecar_validator | WARNING | Sidecar will return 503 for new orders
2025-09-17 01:31:51,328 | libs.sidecar_validator | INFO | Sidecar validation passed
2025-09-17 01:31:52,878 | httpx | INFO | HTTP Request: POST https://devnet.helius-rpc.com/?api-key=2728d54b-ce26-4696-bb4d-dc8170fcd494 "HTTP/1.1 200 OK"
2025-09-17 01:31:53,157 | httpx | INFO | HTTP Request: POST https://devnet.helius-rpc.com/?api-key=2728d54b-ce26-4696-bb4d-dc8170fcd494 "HTTP/1.1 200 OK"
2025-09-17 01:31:53,419 | httpx | INFO | HTTP Request: POST https://devnet.helius-rpc.com/?api-key=2728d54b-ce26-4696-bb4d-dc8170fcd494 "HTTP/1.1 200 OK"
2025-09-17 01:31:53,615 | httpx | INFO | HTTP Request: POST https://devnet.helius-rpc.com/?api-key=2728d54b-ce26-4696-bb4d-dc8170fcd494 "HTTP/1.1 200 OK"
2025-09-17 01:31:53,757 | httpx | INFO | HTTP Request: POST https://devnet.helius-rpc.com/?api-key=2728d54b-ce26-4696-bb4d-dc8170fcd494 "HTTP/1.1 200 OK"
2025-09-17 01:31:54,962 | httpx | INFO | HTTP Request: POST https://devnet.helius-rpc.com/?api-key=2728d54b-ce26-4696-bb4d-dc8170fcd494 "HTTP/1.1 200 OK"
2025-09-17 01:32:00,032 | libs.startup_validator | INFO | StartupValidator initialized
2025-09-17 01:32:00,033 | libs.startup_validator | INFO | [VALIDATION] Running startup validations...
2025-09-17 01:32:00,034 | libs.startup_validator | INFO | [VALIDATION] All startup validations passed
2025-09-17 01:32:01,184 | httpx | INFO | HTTP Request: POST https://devnet.helius-rpc.com/?api-key=2728d54b-ce26-4696-bb4d-dc8170fcd494 "HTTP/1.1 200 OK"
2025-09-17 01:32:01,275 | httpx | INFO | HTTP Request: GET http://localhost:8787/health "HTTP/1.1 200 OK"
2025-09-17 01:32:01,279 | __main__ | INFO | CONNECT: Starting Swift receiver...
2025-09-17 01:32:01,702 | utils.websocket_resilience | INFO | [UserMap] WebSocket connected successfully
2025-09-17 01:32:03,315 | __main__ | INFO | RUNNING: JIT MM Bot running in SNIPER mode!
2025-09-17 01:32:03,344 | __main__ | INFO |    Press Ctrl+C to stop
2025-09-17 01:32:03,832 | libs.sidecar_validator | INFO | Validating sidecar at: http://localhost:8787/health
2025-09-17 01:32:04,394 | httpx | INFO | HTTP Request: GET http://localhost:8787/health "HTTP/1.1 200 OK"
2025-09-17 01:32:04,395 | libs.sidecar_validator | INFO | Sidecar mode: forward
2025-09-17 01:32:04,396 | libs.sidecar_validator | INFO | Forward base: https://swift.drift.trade
2025-09-17 01:32:04,396 | libs.sidecar_validator | INFO | Upstream Swift service healthy: status=200 (160ms)
2025-09-17 01:32:04,397 | libs.sidecar_validator | WARNING | Circuit breaker OPEN: 3/3 consecutive failures
2025-09-17 01:32:04,398 | libs.sidecar_validator | WARNING | Sidecar will return 503 for new orders
2025-09-17 01:32:04,399 | libs.sidecar_validator | INFO | Sidecar validation passed
2025-09-17 01:32:04,752 | httpx | INFO | HTTP Request: GET http://localhost:8787/health "HTTP/1.1 200 OK"
2025-09-17 01:32:04,809 | libs.drift.drivers.swift | INFO | Swift driver initialized: http://localhost:8787, retries=3, auction=True
2025-09-17 01:32:04,888 | httpx | INFO | HTTP Request: POST https://devnet.helius-rpc.com/?api-key=2728d54b-ce26-4696-bb4d-dc8170fcd494 "HTTP/1.1 200 OK"
2025-09-17 01:32:05,122 | httpx | INFO | HTTP Request: POST https://devnet.helius-rpc.com/?api-key=2728d54b-ce26-4696-bb4d-dc8170fcd494 "HTTP/1.1 200 OK"
2025-09-17 01:32:05,273 | httpx | INFO | HTTP Request: POST https://devnet.helius-rpc.com/?api-key=2728d54b-ce26-4696-bb4d-dc8170fcd494 "HTTP/1.1 200 OK"
2025-09-17 01:32:08,792 | libs.sidecar_validator | INFO | Validating sidecar at: http://localhost:8787/health
2025-09-17 01:32:09,552 | httpx | INFO | HTTP Request: GET http://localhost:8787/health "HTTP/1.1 200 OK"
2025-09-17 01:32:09,554 | libs.sidecar_validator | INFO | Sidecar mode: forward
2025-09-17 01:32:09,554 | libs.sidecar_validator | INFO | Forward base: https://swift.drift.trade
2025-09-17 01:32:09,555 | libs.sidecar_validator | INFO | Upstream Swift service healthy: status=200 (343ms)
2025-09-17 01:32:09,555 | libs.sidecar_validator | WARNING | Circuit breaker OPEN: 3/3 consecutive failures
2025-09-17 01:32:09,555 | libs.sidecar_validator | WARNING | Sidecar will return 503 for new orders
2025-09-17 01:32:09,556 | libs.sidecar_validator | INFO | Sidecar validation passed
2025-09-17 01:32:09,705 | httpx | INFO | HTTP Request: GET http://localhost:8787/health "HTTP/1.1 200 OK"
2025-09-17 01:32:09,706 | libs.drift.drivers.swift | INFO | Swift driver initialized: http://localhost:8787, retries=3, auction=True
2025-09-17 01:32:09,868 | httpx | INFO | HTTP Request: POST https://devnet.helius-rpc.com/?api-key=2728d54b-ce26-4696-bb4d-dc8170fcd494 "HTTP/1.1 200 OK"
2025-09-17 01:32:10,005 | httpx | INFO | HTTP Request: POST https://devnet.helius-rpc.com/?api-key=2728d54b-ce26-4696-bb4d-dc8170fcd494 "HTTP/1.1 200 OK"
2025-09-17 01:32:10,293 | httpx | INFO | HTTP Request: POST https://devnet.helius-rpc.com/?api-key=2728d54b-ce26-4696-bb4d-dc8170fcd494 "HTTP/1.1 200 OK"
2025-09-17 01:32:11,343 | libs.sidecar_validator | INFO | Validating sidecar at: http://localhost:8787/health
2025-09-17 01:32:12,086 | httpx | INFO | HTTP Request: GET http://localhost:8787/health "HTTP/1.1 200 OK"
2025-09-17 01:32:12,087 | libs.sidecar_validator | INFO | Sidecar mode: forward
2025-09-17 01:32:12,088 | libs.sidecar_validator | INFO | Forward base: https://swift.drift.trade
2025-09-17 01:32:12,088 | libs.sidecar_validator | INFO | Upstream Swift service healthy: status=200 (330ms)
2025-09-17 01:32:12,089 | libs.sidecar_validator | WARNING | Circuit breaker OPEN: 3/3 consecutive failures
2025-09-17 01:32:12,089 | libs.sidecar_validator | WARNING | Sidecar will return 503 for new orders
2025-09-17 01:32:12,089 | libs.sidecar_validator | INFO | Sidecar validation passed
2025-09-17 01:32:12,235 | httpx | INFO | HTTP Request: GET http://localhost:8787/health "HTTP/1.1 200 OK"
2025-09-17 01:32:12,238 | libs.drift.drivers.swift | INFO | Swift driver initialized: http://localhost:8787, retries=3, auction=True
2025-09-17 01:32:12,514 | httpx | INFO | HTTP Request: POST https://devnet.helius-rpc.com/?api-key=2728d54b-ce26-4696-bb4d-dc8170fcd494 "HTTP/1.1 200 OK"
2025-09-17 01:32:12,616 | httpx | INFO | HTTP Request: POST https://devnet.helius-rpc.com/?api-key=2728d54b-ce26-4696-bb4d-dc8170fcd494 "HTTP/1.1 200 OK"
2025-09-17 01:32:12,842 | httpx | INFO | HTTP Request: POST https://devnet.helius-rpc.com/?api-key=2728d54b-ce26-4696-bb4d-dc8170fcd494 "HTTP/1.1 200 OK"
2025-09-17 01:32:13,863 | libs.sidecar_validator | INFO | Validating sidecar at: http://localhost:8787/health
2025-09-17 01:32:14,598 | httpx | INFO | HTTP Request: GET http://localhost:8787/health "HTTP/1.1 200 OK"
2025-09-17 01:32:14,598 | libs.sidecar_validator | INFO | Sidecar mode: forward
2025-09-17 01:32:14,599 | libs.sidecar_validator | INFO | Forward base: https://swift.drift.trade
2025-09-17 01:32:14,599 | libs.sidecar_validator | INFO | Upstream Swift service healthy: status=200 (331ms)
2025-09-17 01:32:14,599 | libs.sidecar_validator | WARNING | Circuit breaker OPEN: 3/3 consecutive failures
2025-09-17 01:32:14,599 | libs.sidecar_validator | WARNING | Sidecar will return 503 for new orders
2025-09-17 01:32:14,600 | libs.sidecar_validator | INFO | Sidecar validation passed
2025-09-17 01:32:14,748 | httpx | INFO | HTTP Request: GET http://localhost:8787/health "HTTP/1.1 200 OK"
2025-09-17 01:32:14,749 | libs.drift.drivers.swift | INFO | Swift driver initialized: http://localhost:8787, retries=3, auction=True
2025-09-17 01:32:14,981 | httpx | INFO | HTTP Request: POST https://devnet.helius-rpc.com/?api-key=2728d54b-ce26-4696-bb4d-dc8170fcd494 "HTTP/1.1 200 OK"
