2025-08-30 21:44:52,192 | trend-bot | INFO | Test log message from trend-bot
2025-08-30 21:47:55,290 | trend-bot | INFO | Test log message from trend-bot
2025-08-30 21:48:31,317 | trend-bot | INFO | Test log message from trend-bot
2025-08-30 21:48:48,711 | trend-bot | INFO | Test log message from trend-bot
2025-08-30 21:49:03,515 | trend-bot | INFO | Test log message from trend-bot
2025-09-13 22:39:28,701 | trend-bot | INFO | ================================================================================
2025-09-13 22:39:28,702 | trend-bot | INFO | TREND BOT LAUNCHING IN DEVNET MODE
2025-09-13 22:39:28,702 | trend-bot | INFO | ================================================================================
2025-09-13 22:39:28,703 | trend-bot | INFO | Strategy: MACD + Momentum with Anti-Chop Filters
2025-09-13 22:39:28,704 | trend-bot | INFO | Target: SOL-PERP on Drift Protocol
2025-09-13 22:39:28,704 | trend-bot | INFO | Environment: Devnet (Test Network)
2025-09-13 22:39:28,705 | trend-bot | INFO | Mode: TEST TRADING (safe to use!)
2025-09-13 22:39:28,705 | trend-bot | INFO | ================================================================================
2025-09-13 22:39:28,705 | trend-bot | INFO | Press Ctrl+C to stop gracefully
2025-09-13 22:39:28,706 | trend-bot | INFO | 
2025-09-13 22:39:28,706 | trend-bot | INFO | Initializing Trend Bot for beta.drift.trade...
2025-09-13 22:39:28,707 | trend-bot | ERROR | HELIUS_API_KEY environment variable not set
2025-09-13 22:39:28,707 | trend-bot | ERROR | Failed to initialize client
2025-09-13 22:39:30,883 | trend-bot | INFO | ================================================================================
2025-09-13 22:39:30,884 | trend-bot | INFO | TREND BOT LAUNCHING IN DEVNET MODE
2025-09-13 22:39:30,884 | trend-bot | INFO | ================================================================================
2025-09-13 22:39:30,885 | trend-bot | INFO | Strategy: MACD + Momentum with Anti-Chop Filters
2025-09-13 22:39:30,885 | trend-bot | INFO | Target: SOL-PERP on Drift Protocol
2025-09-13 22:39:30,886 | trend-bot | INFO | Environment: Devnet (Test Network)
2025-09-13 22:39:30,887 | trend-bot | INFO | Mode: TEST TRADING (safe to use!)
2025-09-13 22:39:30,887 | trend-bot | INFO | ================================================================================
2025-09-13 22:39:30,888 | trend-bot | INFO | Press Ctrl+C to stop gracefully
2025-09-13 22:39:30,888 | trend-bot | INFO | 
2025-09-13 22:39:30,889 | trend-bot | INFO | Initializing Trend Bot for beta.drift.trade...
2025-09-13 22:39:30,889 | trend-bot | ERROR | HELIUS_API_KEY environment variable not set
2025-09-13 22:39:30,890 | trend-bot | ERROR | Failed to initialize client
2025-09-13 22:39:35,321 | trend-bot | INFO | ================================================================================
2025-09-13 22:39:35,322 | trend-bot | INFO | TREND BOT LAUNCHING IN DEVNET MODE
2025-09-13 22:39:35,322 | trend-bot | INFO | ================================================================================
2025-09-13 22:39:35,323 | trend-bot | INFO | Strategy: MACD + Momentum with Anti-Chop Filters
2025-09-13 22:39:35,323 | trend-bot | INFO | Target: SOL-PERP on Drift Protocol
2025-09-13 22:39:35,324 | trend-bot | INFO | Environment: Devnet (Test Network)
2025-09-13 22:39:35,324 | trend-bot | INFO | Mode: TEST TRADING (safe to use!)
2025-09-13 22:39:35,325 | trend-bot | INFO | ================================================================================
2025-09-13 22:39:35,325 | trend-bot | INFO | Press Ctrl+C to stop gracefully
2025-09-13 22:39:35,326 | trend-bot | INFO | 
2025-09-13 22:39:35,326 | trend-bot | INFO | Initializing Trend Bot for beta.drift.trade...
2025-09-13 22:39:35,327 | trend-bot | ERROR | HELIUS_API_KEY environment variable not set
